Taxon,BasidiosporeType,BasidiosporeShape,BasidiosporeApex,BasidiosporeLength,BasidiosporeWidth,Qvalue,BasidiosporeOrnamentation,BasidiaShape,BasidiaLength,BasidiaWidth,BasidiaSpored,CheilocystidiaPresence,CheilocystidiaShape,CheilocystidiaLength,CheilocystidiaWidth,CheilocystidiaOxalateCrystals,CheilocystidiaWallThickness,CheilocystidiaAmmoniacalTest,ParacystidiaPresence,ParacystidiaShape,ParacystidiaLength,ParacystidiaWidth,PleurocystidiaPresence,PleurocystidiaShape,PleurocystidiaLength,PleurocystidiaWidth,PleurocystidiaOxalateCrystals,PleurocystidiaWallThickness,PleurocystidiaAmmoniacalTest,ApexCaulocystidiaPresence,ApexCaulocystidiaShape,ApexCaulocystidiaLength,ApexCaulocystidiaWidth,ApexCaulocystidiaOxalateCrystals,ApexCaulocystidiaWallThickness,ApexCaulocystidiaAmmoniacalTest,MedianCaulocystidiaPresence,MedianCaulocystidiaShape,MedianCaulocystidiaLength,MedianCaulocystidiaWidth,MedianCaulocystidiaOxalateCrystals,MedianCaulocystidiaWallThickness,MedianCaulocystidiaAmmoniacalTest,Cauloparacystidia,MacroChemical,Habitat,TreesUnder,PileusDiameterX,PileusDiameterY,BaseOfTheStipe,HydrogenPotential,Sosie,Odor,Subgenera,Section,Subsection,DistinctiveFeatures1,ReferencesSources1,DistinctiveFeatures2,ReferencesSources2,DistinctiveFeatures3,ReferencesSources3
fraudans (Britzelm.) Sacc.,Leiospora,Amygdaliform,Papilla,[8-12],[5.5-8],[1.3-1.7],Smooth,Claviform,[28-43],[8-12],[4-4],Yes,Fusiform | Claviform | Cylindrical | Metuloid,n/a,n/a,No,n/a,n/a,Yes,Claviform | Spheropedunculate,n/a,n/a,Yes,Fusiform | Claviform | Cylindrical | Metuloid,[38-83],[14-26],Yes,[2-3],n/a,No,Caulocystidioid hairs,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Beech | Oak | Spruce | Pine | Linden,[19-86],[19-86],Subbulbous,n/a,n/a,Peruvian balsam,Inocybe,,,"1) As will be explained on p. 232, I consider the name Inocybe pyriodora (Pers. : Fr.) Kumm. a nomen dubium. For that reason a new name was needed. The oldest available is based on Agaricus fraudans Britz., a name also neotypified by me (see above). 2) Most mycologists have been inclined to recognise two different species based on differences in habit and pileal covering. The same I. pyriodora was used for the smaller taxon with a somewhat appressedly scaly pileus, whereas the name I. incarnata was used for the robust species with a smooth, even somewhat greasy pileus. However, I came to the conclusion that this character difference is at least partly phenotypically determined. Moreover, too many intermediates were encountered (even in collections found at the same locality in different years) to allow for taxonomic separation of these variants. 3)  Variants without or with only a faint smell show less distinct reddening of the contest.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 78-80",,,,
frigidula J. Favre,Leiospora,Subamygdaliform,Subconical,[10-12],[6-7],[1.6-1.8],Smooth,Claviform,[25-33],[9-11],[4-4],Yes,Cylindrical | Claviform | Fusiform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform,n/a,n/a,Yes,Cylindrical | Claviform | Fusiform | Metuloid,[42-77],[20-29],Yes,[2-3],n/a,Yes,Cylindrical | Claviform | Fusiform | Metuloid,n/a,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Soil,Dryas octopetala | Willow | Pine,[8-20],[8-20],Equal | Somewhat broadened at base,n/a,n/a,Faint | Subspermatic,Inocybe,,,"The macroscopical description is partly based on Favre (l.c.). Easily recognised because of its very broad cystidia resembling those of I. serotina Peck. Alpine variants of I. inodora Velen. (see p. 171), another species with broad cystidia, differ in having a stipe that is pruinose over half-way to pruinose throughout.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 165-166",,,,
fulvella Bres.,Goniospora,Irregularly polygonal | Subrectangle,Conical,[8-10],[6-7],n/a,"7 to 8 prominent, obtuse nodules",Claviform,[23-33],[8-11],[4-4],Yes,Ventricose | Metuloid,[40-50],[12-18],Yes | No,n/a,n/a,Yes,Diversiform,[22-40],[9-14],Yes,Ventricose | Metuloid,[48-62],[9-16],Yes | No,n/a,n/a,Yes,Versiform | Claviform | Cylindrical | Fusiform,[10-110],[5.5-9],No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Ground,Birch | Beech | Maple,[8-10],[8-10],Not bulbous,n/a,n/a,Spermatic,Clypeus,,,"There are very few Inocybes with angular-nodulose spores that have purplish or lavender colors. This one is well characterized by its small size and reddish umber, fibrillose pileus. A previous report of it from Washington (Stuntz, D. E. 1947. Studies in the Genus Inocybe. I. New and noteworthy species from Washington. Mycologia 39 : 21-55; p. 32) is incorrect ; the specimens cited have the stipe pruinose in its entire length, and lack lavender colors. There appears to be no other report of I. fulvella from Canada, as far as we can ascertain.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes V., Mycologia, vol. 72, 1980; p. 672-673",,,,
furfurea var. furfurea Kuehner,Leiospora,Regular | Subamygdaliform,Obtuse | Conical,[7.5-9],[4.5-5],[1.5-1.9],Smooth,Claviform,[26-31],[8-10],[4-4],Yes,Cylindrical | Subfusiform | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Subpyriform | Claviform,n/a,n/a,Yes,Cylindrical | Subfusiform | Metuloid,[55-73],[11-19],Yes,[0.5-1],n/a,Yes,Cylindrical | Subfusiform | Metuloid,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,Calcareous soil,Beech | Oak | Blue-beech | Hazel | Basswood,[9-24],[9-24],Not bulbous,n/a,n/a,Spermatic,Inocybe,,,"The structure of the pileipellis of this species, consisting of short and inflated elements, is reminiscent of that of Sect. Petiginosae. Stipe colour would support such a classification.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 184","As no mention is made of a discolouration of the young lamellae in the original description of I. furfurea (Kuehner in Bull. Soc. Nat Oyonnax 9 (Suppl.): 15-17. 1955), it is supposed to be absent. However, this character needs to be assessed from fresh material, and it might well be that further investigations will result in the abandonment of var. rufotacta.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 184-185",,
furfurea var. rufotacta (Schwoebel & Stangl) Kuyper,Leiospora,Regular | Subamygdaliform,Obtuse | Subconical,[8-9.5],[5-5.5],[1.6-1.7],Smooth,Claviform,[23-30],[8-11],[4-4],Yes,Cylindrical | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform | Pyriform,n/a,n/a,Yes,Cylindrical | Metuloid,[50-62],[14-18],Yes,[1-1.5],n/a,Yes,Cylindrical | Metuloid,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Soil,Oak | Blue-beech,[6-32],[6-32],Not bulbous,n/a,n/a,Faint acidulous,Inocybe,,,"The structure of the pileipellis of this species, consisting of short and inflated elements, is reminiscent of that of Sect. Petiginosae. Stipe colour would support such a classification.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 184",The macroscopical description has been copied from Schwoebel & Stangl (l.c.).,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 186",,
fuscicothurnata Grund & D.E. Stuntz,Leiospora,Inequilaterally | Amygdaliform,Obtuse | Subconical,[8-11],[4.5-5.5],n/a,Smooth,Claviform,[25-30],[8-9],[4-4],Yes,Ventricose | Metuloid,[20-40],[5-15],Yes | No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Ventricose | Metuloid,[45-65],[15-22],Yes | No,[0.5-1],n/a,Yes,Ventricose | Claviform | Metuloid,n/a,n/a,Yes | No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Hemlock,[10-15],[10-15],Subbulbous,n/a,n/a,Spermatic,,,,"The distinctives features of this Inocybe are its fuscous pileus, stipe with fuscous sheath and purple-tinged apex, and large, thin-walled cystidia. Its nearest relative in the I. obscura complex is I. cincinnatula Kuehner, which has differently colored pileus and stipe and thick-walled cystidia. Also, in I. fuscicothurnata the stem sheath is continuous in its lower half, whereas in I. cincinnatula the sheath very soon breaks up into brown fibrillose streaks scattered over the lower part of the stipe. Another Inocybe that may be related to I. fuscicothurnata is I. virgata Atk. We have compared our material with a fragment of the type of I. virgata and find no significant difference in spores or cystidia. Since both species have the pileus and stipe fuscous, the principal distinction between them would seem to be the purplish apex of the stipe in I. fuscicothurnata.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes III., Mycologia, vol. 67, 1975; p. 27-28",,,,
fuscidula var. bisporigera Kuyper,Leiospora,Subamygdaliform,Conical,[10-14.5],[5.5-7],[1.7-2],Smooth,Claviform,[26-35],[7-10],[2-2],Yes,Cylindrical | Subfusiform | Sublageniform,n/a,n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Cylindrical | Subfusiform | Sublageniform,[54-70],[11-18],Yes,[1.5-2],n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,Yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Soil,Spruce,[20-25],[20-25],Equal,n/a,abjecta,Not distinctive,Inocybe,,,"The macroscopical description has been copied from Lange (Fl. agar. dan. 5: 101. 1940). The type collection is very scanty, consisting of one small fragment of a lamella only.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 156-157",,,,
fuscidula var. fuscidula Velen.,Leiospora,Subamygdaliform,Conical | Subconical,[7.5-11],[4.5-6],[1.5-2],Smooth,Claviform,[26-36],[9-12],[4-4],Yes,Cylindrical | Fusiform | Subutriform | Sublageniform,n/a,n/a,Yes,n/a,n/a,Yes,Pyriform | Claviform,n/a,n/a,Yes,Cylindrical | Fusiform | Subutriform | Sublageniform,[41-75],[11-22],Yes,[1.5-2],n/a,Yes,Cylindrical | Fusiform | Subutriform | Sublageniform,n/a,n/a,No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Beech | Oak | Birch | Spruce | Larch,[15-43],[15-43],Subbulbous,n/a,abjecta,Subspermatic,Inocybe,,,"1) Inocybe fuscidula is very variable in its macroscopical habit. The variant most commonly encountered in western Europe is characterised by a slender habit, dark brown pileus and a relatively long stipe. It often grows under frondose trees on rather damp soil. This variant is well illustrated by Heim and Lange as I. descissa var. brunneoatra. In central Europe a more robust variant is encountered with a stouter habit, a somewhat to distinctly paler pileus (depending on the development of the velipellis) and relatively short and firm stipe. It grows mostly under conifers but can also be encountered under frondose trees. The illustration by Bresadola (sub nom. I. rimosa) is characteristic for this variant. Although the extremes of these variants are macroscopically strikingly different, they hardly differ in microscopical characters. Intermediates between the extremes are repeatedly encountered, and for that reason no formal status has been given to those variants. The conspecificity of I. virgatula and I. hypophaea has also been confirmed by Kuehner (in Bull. Soc. Nat. Oyonnax 9 (Suppl.) : 59-63. 1955) and Furrer-Ziogas (pers. Comm.). The sole difference between both variants is to be found in the development of the velipellis, resulting in either a distinctly umbonate, brown rimulose pileus, or a sordid isabella-brown pileus without umbo. Intermediates are not seldomly encountered, even within a group that seems to originate from one mycelium. 2) Inocybe pseudodestricta is closely related to I. fuscidula, but differs in having a rather shiny, brown pileus often mixed with reddish tinges, yellowish lamellae and a stipe with pinkish tinges. Inocybe nitidiuscula differs in having reddish tinges at the apex of the stipe and somewhat larger spores.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 153-156",,,,
fuscodisca (Peck) Massee,Leiospora,Inequilaterally | Amygdaliform,Obtuse | Subconical,[8-10],[4.5-5.5],n/a,Smooth,Claviform,[21-24],[6.5-8],[2-4],Yes,Ventricose | Metuloid,[18-33],[10-13],Yes | No,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Ventricose | Metuloid,[45-77],[12-30],Yes | Sparse | No,[1-2],n/a,Yes,Ventricose | Claviform | Fusoid | Metuloid,[20-85],[14-20],Yes | No,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Needles,Spruce,[10-30],[10-30],Equal,n/a,geophylla,Spermatic,,,,"In wet weather the surface of the pileus feels lubricous to viscid, but the pileal cuticule definitely is not a gelatinous pellicle. In young carpophores with unexpanded pilei the pileal cuticle is continuous with a similar layer that sheathes the basal portion of the stipe and like the pileal surface is subviscid when wet. When the pileus expands this enveloping layer ruptures at the pileal margin and collapses on the stipe in an annular zone of subviscid streaks or patches. In these particulars as well as in the size and type of spore, and nature of the pleurocystidia, Inocybe fuscodisca resembles I. geophylla (Sow. Ex Fr.) Kummer, and we are inclined to think it is closely related to the latter species. This appears to be the first report of I. fuscodisca from Nova Scotia, but the species is widely distributed in North America, having been found in New York, Tennessee, Michigan, California and Washington.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes II., Mycologia, vol. 62, 1970; p. 931-932",,,,
gausapata Kuehner,Leiospora,Profile slightly rounded dorsally | Deeply convex ventrally,Conical | Subconical,[6.5-10],[4.5-6.5],n/a,Smooth,Cylindrical | Ventricose | Subclaviform,[22-28],[8-12],[4-4],Yes,Ventricose | Metuloid,[45-60],[13-22],Yes,n/a,n/a,Yes,Claviform,[20-30],[11-15],Yes,Ventricose | Metuloid,[45-58],[12-19],Yes,[3-4],n/a,Yes,Claviform | Metuloid,[27-45],[9-22],Yes | No,[0.5-1.5],n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Soil,Hemlock,[10-25],[10-25],Not bulbous,n/a,pallidipes,Spermatic,,,,"Inocybe gausapata and I. pallidipes Ellis & Everh. resemble each other macroscopically and cannot be separated on that basis. As we have not seen specimens of I. gausapata, we rely on the microscopical data furnished in the protolog (Ellis, J. B., and Everhart, B. M. 1889. Some new species of hymenomycetous fungi. J. Mycol. 5 : 24-29) making it possible to compare them with the corresponding data available from examination of a syntype of I. pallidipes. The two species can be distinguished by differences in their spores and pleurocystidia. Spores of I. pallidipes are slightly longer and narrower than those of I. gausapata, resulting in a different appearance in lateral outline. Pleurocystidia of I. pallidipes are ventricose without a neck, and have walls considerably thicker (4-7 micron) than those of I. gausapata. It should be noted that the measurements of spores given in the description of I. pallidipes (Ellis, J. B., and Everhart, B. M. 1889. Some new species of hymenomycetous fungi. J. Mycol. 5 : 24-29) are incorrect because they do not match the syntype. As far as we know this is the first report of I. gausapata from North America.","Grund, D.W.; Stuntz, D.E. Nova Scotian Inocybes VI., Mycologia, vol. 73, 1981; p. 656-658",,,,
geophylla var. geophylla (Bull.) P. Kumm.,Leiospora,Subamygdaliform,Obtuse,[7-10.5],[4.5-6],[1.5-1.9],Smooth,Claviform,[22-33],[7-11],[4-4],Yes,Subfusiform | Subutriform | Cylindrical | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform | Pyriform,n/a,n/a,Yes,Subfusiform | Subutriform | Cylindrical | Metuloid,[38-76],[10-25],Yes,[1-2],n/a,Yes,Subfusiform | Subutriform | Cylindrical | Metuloid,n/a,n/a,Yes,n/a,n/a,No,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,Calcareous soil,Oak | Beech | Pine | Spruce | Blue-beech | Birch | Basswood | Larch,[9-35],[9-35],Subbulbous,n/a,n/a,Spermatic,Inocybe,,,"Nomenclatural note : The extensive synonymy bears witness of the convoluted history of the correct name of this species. First of all it should be noted that the epithets geophilus and geophyllus are not to be considered as orthographic variants as they have a completely different meaning : geophilus meaning earth-loving, geophyllus meaning lamellae being earth-coloured. Bulliard (Herb. France : pl. 522, f. 2. 1791) illustrated the white variety of this species under the name Agaricus geophilus. As only a macroscopical illustration without details aiding identification (Art. 42.2 & 44.2) was provided, this name is invalid. The next author referring to that species was Sowerby (Col. Fig. English Fungi 2 : 4. 1799) who depicted the violaceous variety and provided a formal diagnosis under the name A. geophyllus. As noted above, this epithet is not an orthographic error of Bulliard's name, and Sowerby's species must therefore be typified with the violaceous variety. Persoon (Syn. Meth. Fung. : 340. 1801) referred to Sowerby's violaceous taxon, which he had formerly described as Agaricus affinis, but preferred to use the epithet geophilus. The name Agaricus geophilus Pers. is clearly illegitimate, being a superfluous name change for A. affinis. However, this Persoonian name barred the legitimacy of A. geophilus Bull. in Ventenat (Hist. Champ. : 546. 1812), intented as a validation of A. geophilus Bull. 1791, and typified by the white variety. This Gordian knot was finally cut by Fries (Syst. mycol. 1. 258. 1821 and Elench. Fung. 1 : 33. 1828), who sanctioned the name A. geophyllus, and typified it with the white variety. He make even explicit that his use of the epithet geophyllus for the taxon typified by Bulliard's white variety was not a mistake, but a deliberate choice, as he felt that the epithet should espress the earth-colour of the lamellae. As Fries's name A. geophyllus is sanctioned, the name A. geophyllus Sow. must be rejected as it is a homonym of the Friesian name. Summarizing the above, it can be concluded that Agaricus geophyllus is the correct name, that the epithet must be ascribed to Fries solely, and that the species must be typified by Bulliard's illustration (pl. 522, as A. geophilus).","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 85-86","1) Old specimens sometimes become slightly hygrophanous and then show some striation at the margin of the pileus. No toxonomic value can be given to this character. 2) Young specimens of I. whitei (B. & Br.) Sacc. f. armeniaca (Huijsman) Kuyp. are not always separable from I. geophylla var. geophylla, although a prominent and even subacute papilla is almost always indicative of the former species. 3) Inocybe posterula (Britz.) Sacc. differs from yellowish variants of I. geophylla var. geophylla in being more robust, having spores with a somewhat subconical apex and more thick-walled pleurocystidia. The covering of the stipe is also somewhat different. 4) Inocybe phaeodisca var. geophylloides Kuehner has a somewhat more radially rimose pileus and spores wih a conical apex.","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 86-89",,
geophylla var. lilacina (Peck) Gillet,Leiospora,Subamygdaliform,Obtuse,[7-10.5],[4.5-6.5],[1.5-1.8],Smooth,Claviform,[22-29],[7-10],[4-4],Yes,Subfusiform | Subutriform | Cylindrical | Metuloid,n/a,n/a,Yes,n/a,n/a,Yes,Claviform | Pyriform,n/a,n/a,Yes,Subfusiform | Subutriform | Cylindrical | Metuloid,[41-70],[11-22],Yes,[2-3],n/a,Yes,Subfusiform | Subutriform | Cylindrical | Metuloid,n/a,n/a,Yes,n/a,n/a,No,n/a,n/a,n/a,n,n/a,n/a,n/a,n/a,Calcareous soil,Oak | Beech | Pine | Spruce | Blue-beech | Birch | Basswood | Larch,[16-25],[16-25],Not bulbous,n/a,n/a,Spermatic,Inocybe,,,"Nomenclatural note : The extensive synonymy bears witness of the convoluted history of the correct name of this species. First of all it should be noted that the epithets geophilus and geophyllus are not to be considered as orthographic variants as they have a completely different meaning : geophilus meaning earth-loving, geophyllus meaning lamellae being earth-coloured. Bulliard (Herb. France : pl. 522, f. 2. 1791) illustrated the white variety of this species under the name Agaricus geophilus. As only a macroscopical illustration without details aiding identification (Art. 42.2 & 44.2) was provided, this name is invalid. The next author referring to that species was Sowerby (Col. Fig. English Fungi 2 : 4. 1799) who depicted the violaceous variety and provided a formal diagnosis under the name A. geophyllus. As noted above, this epithet is not an orthographic error of Bulliard's name, and Sowerby's species must therefore be typified with the violaceous variety. Persoon (Syn. Meth. Fung. : 340. 1801) referred to Sowerby's violaceous taxon, which he had formerly described as Agaricus affinis, but preferred to use the epithet geophilus. The name Agaricus geophilus Pers. is clearly illegitimate, being a superfluous name change for A. affinis. However, this Persoonian name barred the legitimacy of A. geophilus Bull. in Ventenat (Hist. Champ. : 546. 1812), intented as a validation of A. geophilus Bull. 1791, and typified by the white variety. This Gordian knot was finally cut by Fries (Syst. mycol. 1. 258. 1821 and Elench. Fung. 1 : 33. 1828), who sanctioned the name A. geophyllus, and typified it with the white variety. He make even explicit that his use of the epithet geophyllus for the taxon typified by Bulliard's white variety was not a mistake, but a deliberate choice, as he felt that the epithet should espress the earth-colour of the lamellae. As Fries's name A. geophyllus is sanctioned, the name A. geophyllus Sow. must be rejected as it is a homonym of the Friesian name. Summarizing the above, it can be concluded that Agaricus geophyllus is the correct name, that the epithet must be ascribed to Fries solely, and that the species must be typified by Bulliard's illustration (pl. 522, as A. geophilus).","Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 85-86",The intensity of the violaceous tinges of the basidiocarps is quite variable and partly age-dependent. Variants differring only in colour intensity therefore do not deserve a formal taxonomic rank.,"Kuyper, Thomas W. 1986. A revision of the genus Inocybe in Europe : I. subgenus inosperma and the smooth-spored species of subgenus Inocybe, Rijksherbarium, Leiden, 247 p.; p. 89-90",,
